HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,238938
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,371681
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,212389
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,171681
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,82035
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,150442
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,132300
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,232743
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,120353
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,240707
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,159292
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,486725
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,384070
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,367256
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,210619
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,243362
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,379646
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,261061
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,163716
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,65486
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1088,415929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,314159
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,250442
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,82300
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,171681
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,252654
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,380530
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,309292
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,178761
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,95575
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,252212
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,389380
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,1192,353097
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,209734
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,349115
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,174336
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,252212
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,221238
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,64601
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,287610
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,289380
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,151327
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,290707
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,253097
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,107964
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,153982
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,498,61946
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,214601
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,211504
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,247787
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1448,300884
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,247787
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,278761
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,66371
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,100884
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,130973
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,345132
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,486725
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,458407
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,258407
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,371681
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,346902
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,446902
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,230088
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,361061
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,53097
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,201769
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,345132
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,37610
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,185840
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,113274
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,202654
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,406194
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,406194
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,442477
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,184955
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,287610
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,345132
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,56637
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,165929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,283185
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,89380
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,325663
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,230088
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,296460
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,310176
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,526548
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,256637
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,319469
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,321238
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,180530
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,272566
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,100884
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,153097
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,176991
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,285840
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,93362
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,78318
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,172566
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,117699
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,154867
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,400000
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,76991
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,241592
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,287610
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,119469
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,196460
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,353982
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,287610
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,170796
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,446902
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,129203
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,330973
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,65486
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,263716
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,280530
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,423008
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,265486
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,164601
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,218584
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,334513
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,181415
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,132743
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,183628
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,192035
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,259292
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,208849
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,141592
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,201769
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,254867
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,185840
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,238938
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,334513
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,57522
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,168141
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,135398
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,292035
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,105309
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,223008
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,318584
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,192920
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,254867
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,451327
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1092,415929
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,325663
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,260707
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,169026
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,139823
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,260176
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,320353
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,192920
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,340707
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,345902
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,178761
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,290265
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,223008
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,318584
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,161061
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,231858
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,185840
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,116814
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,152212
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,218584
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,194690
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,226991
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,314159
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,254123
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,373451
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,318584
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,221238
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,123008
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,281,104424
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,234513
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,327433
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,1192,245132
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,174336
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,335398
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,252212
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,233628
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,213,81415
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,192,71681
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,280530
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,200522
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,341150
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,95132
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,351769
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1092,402654
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,205309
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,105309
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,201769
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,53982
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,155752
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,170353
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,278761
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,95132
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,422123
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74672
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,190265
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,273451
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,254867
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,216814
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,334955
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75088
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,54867
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,234513
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,159292
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,169292
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,233628
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,221238
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,317699
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,172566
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,88495
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,178761
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,198230
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,273451
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,369628
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,212389
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,176106
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,261061
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1448,265486
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,196460
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,380530
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,215929
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,163716
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,333628
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,238053
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,259292
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,276991
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,144115
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,251327
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,1192,258407
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,41061
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,163716
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,307964
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,170353
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,203539
